"serie","periodo","valor"
"PD31895MM","Ene.2018","4.81809523809524"
"PD31895MM","Feb.2018","4.7945"
"PD31895MM","Mar.2018","4.845"
"PD31895MM","Abr.2018","5.0242"
"PD31895MM","May.2018","5.47227272727273"
"PD31895MM","Jun.2018","5.6626"
"PD31895MM","Jul.2018","5.48476190476191"
"PD31895MM","Ago.2018","5.4252380952381"
"PD31895MM","Sep.2018","5.5175"
"PD31895MM","Oct.2018","5.73181818181818"
"PD31895MM","Nov.2018","5.727"
"PD31895MM","Dic.2018","5.74363157894737"
"PD31895MM","Ene.2019","5.58772727272727"
"PD31895MM","Feb.2019","5.4945"
"PD31895MM","Mar.2019","5.29923809523809"
"PD31895MM","Abr.2019","5.2158"
"PD31895MM","May.2019","5.13735454545455"
"PD31895MM","Jun.2019","4.81719"
"PD31895MM","Jul.2019","4.4401"
"PD31895MM","Ago.2019","4.228985"
"PD31895MM","Sep.2019","4.15212380952381"
"PD31895MM","Oct.2019","4.07454285714286"
"PD31895MM","Nov.2019","4.23969"
"PD31895MM","Dic.2019","4.3559380952381"
"PD31895MM","Ene.2020","4.50230909090909"
"PD31895MM","Feb.2020","4.258095"
"PD31895MM","Mar.2020","5.08725909090909"
"PD31895MM","Abr.2020","5.0255"
"PD31895MM","May.2020","4.4295"
"PD31895MM","Jun.2020","4.39"
"PD31895MM","Jul.2020","4.24045454545455"
"PD31895MM","Ago.2020","4.06714285714286"
"PD31895MM","Sep.2020","4.18681818181818"
"PD31895MM","Oct.2020","4.20545454545454"
"PD31895MM","Nov.2020","4.01450476190476"
"PD31895MM","Dic.2020","3.63264285714286"
"PD31895MM","Ene.2021","3.658"
"PD31895MM","Feb.2021","3.9115"
"PD31895MM","Mar.2021","4.68608695652174"
"PD31895MM","Abr.2021","5.09"
"PD31895MM","May.2021","4.99"
"PD31895MM","Jun.2021","5.27323809523809"
"PD31895MM","Jul.2021","5.6647"
"PD31895MM","Ago.2021","6.35523809523809"
"PD31895MM","Sep.2021","6.34227272727273"
"PD31895MM","Oct.2021","5.9495"
"PD31895MM","Nov.2021","5.86571428571429"
"PD31895MM","Dic.2021","5.92563636363636"
"PD31895MM","Ene.2022","6.07457142857143"
"PD31895MM","Feb.2022","6.071"
"PD31895MM","Mar.2022","6.59782608695652"
"PD31895MM","Abr.2022","7.37315789473684"
"PD31895MM","May.2022","7.92363636363636"
"PD31895MM","Jun.2022","7.858"
"PD31895MM","Jul.2022","8.21631578947368"
"PD31895MM","Ago.2022","7.90872727272727"
"PD31895MM","Sep.2022","8.30590909090909"
"PD31895MM","Oct.2022","8.64571428571429"
"PD31895MM","Nov.2022","7.86476190476191"
"PD31895MM","Dic.2022","7.8615"
"PD31895MM","Ene.2023","7.95952380952381"
"PD31895MM","Feb.2023","7.87935"
"PD31895MM","Mar.2023","7.71669565217391"
"PD31895MM","Abr.2023","7.48888888888889"
"PD31895MM","May.2023","7.275"
"PD31895MM","Jun.2023","7.07380952380952"
"PD31895MM","Jul.2023","6.7555"
"PD31895MM","Ago.2023","6.84409090909091"
"PD31895MM","Sep.2023","6.96857142857143"
"PD31895MM","Oct.2023","7.62454545454545"
"PD31895MM","Nov.2023","7.17190476190476"
"PD31895MM","Dic.2023","6.86847368421053"
"PD31895MM","Ene.2024","6.67952380952381"
"PD31895MM","Feb.2024","6.75380952380952"
"PD31895MM","Mar.2024","7.00578947368421"
"PD31895MM","Abr.2024","7.38204545454545"
"PD31895MM","May.2024","7.09540909090909"
"PD31895MM","Jun.2024","7.08842105263158"
"PD31895MM","Jul.2024","6.9725"
"PD31895MM","Ago.2024","6.5835"
"PD31895MM","Sep.2024","6.36185714285714"
"PD31895MM","Oct.2024","6.52246818181818"
"PD31895MM","Nov.2024","6.669"
"PD31895MM","Dic.2024","6.62515789473684"
"PD31895MM","Ene.2025","6.69"
"PD31895MM","Feb.2025","6.4725"
"PD31895MM","Mar.2025","6.4852380952381"
"PD31895MM","Abr.2025","6.604"
"PD31895MM","May.2025","6.48666666666667"
"PD31895MM","Jun.2025","6.41190476190476"
"PD31895MM","Jul.2025","6.18745"
"PD31895MM","Ago.2025","6.01696"
"PD31895MM","Sep.2025","6.12590909090909"
"PD31895MM","Oct.2025","6.10583636363637"
"PD31895MM","Nov.2025","6.00445"
"PD31895MM","Dic.2025","5.82715789473684"
