"fecha","rend_pe_10a","GS1","GS2","GS3","GS5","GS7","GS10","GS20","GS30","spread_pb"
2018-01-01,4.81809523809524,1.8,2.03,2.15,2.38,2.51,2.58,2.73,2.88,223.81
2018-02-01,4.7945,1.96,2.18,2.36,2.6,2.78,2.86,3.02,3.13,193.45
2018-03-01,4.845,2.06,2.28,2.42,2.63,2.77,2.84,2.97,3.09,200.5
2018-04-01,5.0242,2.15,2.38,2.52,2.7,2.82,2.87,2.96,3.07,215.42
2018-05-01,5.47227272727273,2.27,2.51,2.66,2.82,2.93,2.98,3.05,3.13,249.23
2018-06-01,5.6626,2.33,2.53,2.65,2.78,2.87,2.91,2.98,3.05,275.26
2018-07-01,5.48476190476191,2.39,2.61,2.7,2.78,2.85,2.89,2.94,3.01,259.48
2018-08-01,5.4252380952381,2.45,2.64,2.71,2.77,2.84,2.89,2.97,3.04,253.52
2018-09-01,5.5175,2.56,2.77,2.84,2.89,2.96,3,3.08,3.15,251.75
2018-10-01,5.73181818181818,2.65,2.86,2.94,3,3.09,3.15,3.27,3.34,258.18
2018-11-01,5.727,2.7,2.86,2.91,2.95,3.04,3.12,3.27,3.36,260.7
2018-12-01,5.74363157894737,2.66,2.68,2.67,2.68,2.75,2.83,2.98,3.1,291.36
2019-01-01,5.58772727272727,2.58,2.54,2.52,2.54,2.61,2.71,2.89,3.04,287.77
2019-02-01,5.4945,2.55,2.5,2.48,2.49,2.57,2.68,2.87,3.02,281.45
2019-03-01,5.29923809523809,2.49,2.41,2.37,2.37,2.47,2.57,2.8,2.98,272.92
2019-04-01,5.2158,2.42,2.34,2.31,2.33,2.43,2.53,2.76,2.94,268.58
2019-05-01,5.13735454545455,2.34,2.21,2.16,2.19,2.29,2.4,2.63,2.82,273.74
2019-06-01,4.81719,2,1.81,1.78,1.83,1.95,2.07,2.36,2.57,274.72
2019-07-01,4.4401,1.96,1.84,1.8,1.83,1.93,2.06,2.36,2.57,238.01
2019-08-01,4.228985,1.77,1.57,1.51,1.49,1.55,1.63,1.91,2.12,259.9
2019-09-01,4.15212380952381,1.8,1.65,1.59,1.57,1.64,1.7,1.97,2.16,245.21
2019-10-01,4.07454285714286,1.61,1.55,1.53,1.53,1.62,1.71,2,2.19,236.45
2019-11-01,4.23969,1.57,1.61,1.61,1.64,1.74,1.81,2.13,2.28,242.97
2019-12-01,4.3559380952381,1.55,1.61,1.63,1.68,1.79,1.86,2.16,2.3,249.59
2020-01-01,4.50230909090909,1.53,1.52,1.52,1.56,1.67,1.76,2.07,2.22,274.23
2020-02-01,4.258095,1.41,1.33,1.31,1.32,1.42,1.5,1.81,1.97,275.81
2020-03-01,5.08725909090909,0.33,0.45,0.5,0.59,0.78,0.87,1.26,1.46,421.73
2020-04-01,5.0255,0.18,0.22,0.28,0.39,0.55,0.66,1.06,1.27,436.55
2020-05-01,4.4295,0.16,0.17,0.22,0.34,0.53,0.67,1.12,1.38,375.95
2020-06-01,4.39,0.18,0.19,0.22,0.34,0.55,0.73,1.27,1.49,366
2020-07-01,4.24045454545455,0.15,0.15,0.17,0.28,0.46,0.62,1.09,1.31,362.05
2020-08-01,4.06714285714286,0.13,0.14,0.16,0.27,0.46,0.65,1.14,1.36,341.71
2020-09-01,4.18681818181818,0.13,0.13,0.16,0.27,0.46,0.68,1.21,1.42,350.68
2020-10-01,4.20545454545454,0.13,0.15,0.19,0.34,0.55,0.79,1.34,1.57,341.55
2020-11-01,4.01450476190476,0.12,0.17,0.22,0.39,0.63,0.87,1.4,1.62,314.45
2020-12-01,3.63264285714286,0.1,0.14,0.19,0.39,0.66,0.93,1.47,1.67,270.26
2021-01-01,3.658,0.1,0.13,0.2,0.45,0.77,1.08,1.63,1.82,257.8
2021-02-01,3.9115,0.07,0.12,0.21,0.54,0.91,1.26,1.88,2.04,265.15
2021-03-01,4.68608695652174,0.08,0.15,0.32,0.82,1.27,1.61,2.24,2.34,307.61
2021-04-01,5.09,0.06,0.16,0.35,0.86,1.31,1.64,2.2,2.3,345
2021-05-01,4.99,0.05,0.16,0.32,0.82,1.28,1.62,2.22,2.32,337
2021-06-01,5.27323809523809,0.07,0.2,0.39,0.84,1.23,1.52,2.09,2.16,375.32
2021-07-01,5.6647,0.08,0.22,0.4,0.76,1.07,1.32,1.87,1.94,434.47
2021-08-01,6.35523809523809,0.07,0.22,0.42,0.77,1.06,1.28,1.83,1.92,507.52
2021-09-01,6.34227272727273,0.08,0.24,0.47,0.86,1.16,1.37,1.87,1.94,497.23
2021-10-01,5.9495,0.11,0.39,0.67,1.11,1.4,1.58,2.03,2.06,436.95
2021-11-01,5.86571428571429,0.18,0.51,0.82,1.2,1.45,1.56,1.97,1.94,430.57
2021-12-01,5.92563636363636,0.3,0.68,0.95,1.23,1.4,1.47,1.9,1.85,445.56
2022-01-01,6.07457142857143,0.55,0.98,1.25,1.54,1.7,1.76,2.15,2.1,431.46
2022-02-01,6.071,1,1.44,1.65,1.81,1.91,1.93,2.31,2.25,414.1
2022-03-01,6.59782608695652,1.34,1.91,2.09,2.11,2.15,2.13,2.51,2.41,446.78
2022-04-01,7.37315789473684,1.89,2.54,2.72,2.78,2.8,2.75,2.99,2.81,462.32
2022-05-01,7.92363636363636,2.06,2.62,2.79,2.87,2.92,2.9,3.26,3.07,502.36
2022-06-01,7.858,2.65,3,3.15,3.19,3.21,3.14,3.48,3.25,471.8
2022-07-01,8.21631578947368,3.02,3.04,3.03,2.96,2.97,2.9,3.35,3.1,531.63
2022-08-01,7.90872727272727,3.28,3.25,3.23,3.03,2.98,2.9,3.35,3.13,500.87
2022-09-01,8.30590909090909,3.89,3.86,3.88,3.7,3.64,3.52,3.82,3.56,478.59
2022-10-01,8.64571428571429,4.43,4.38,4.38,4.18,4.09,3.98,4.28,4.04,466.57
2022-11-01,7.86476190476191,4.73,4.5,4.34,4.06,3.99,3.89,4.22,4,397.48
2022-12-01,7.8615,4.68,4.29,4.05,3.76,3.72,3.62,3.87,3.66,424.15
2023-01-01,7.95952380952381,4.69,4.21,3.91,3.64,3.59,3.53,3.81,3.66,442.95
2023-02-01,7.87935,4.93,4.53,4.23,3.94,3.86,3.75,3.95,3.8,412.93
2023-03-01,7.71669565217391,4.68,4.3,4.09,3.82,3.77,3.66,3.94,3.77,405.67
2023-04-01,7.48888888888889,4.68,4.02,3.76,3.54,3.5,3.46,3.8,3.68,402.89
2023-05-01,7.275,4.91,4.13,3.82,3.59,3.58,3.57,3.96,3.86,370.5
2023-06-01,7.07380952380952,5.24,4.64,4.27,3.95,3.85,3.75,4.04,3.87,332.38
2023-07-01,6.7555,5.37,4.83,4.47,4.14,4.03,3.9,4.15,3.96,285.55
2023-08-01,6.84409090909091,5.37,4.9,4.59,4.31,4.26,4.17,4.46,4.28,267.41
2023-09-01,6.96857142857143,5.44,5.02,4.74,4.49,4.46,4.38,4.65,4.47,258.86
2023-10-01,7.62454545454545,5.42,5.07,4.89,4.77,4.82,4.8,5.13,4.95,282.45
2023-11-01,7.17190476190476,5.28,4.88,4.64,4.49,4.53,4.5,4.84,4.66,267.19
2023-12-01,6.86847368421053,4.96,4.46,4.19,4,4.04,4.02,4.32,4.14,284.85
2024-01-01,6.67952380952381,4.79,4.32,4.11,3.98,4.03,4.06,4.39,4.26,261.95
2024-02-01,6.75380952380952,4.92,4.54,4.33,4.19,4.21,4.21,4.49,4.38,254.38
2024-03-01,7.00578947368421,4.99,4.59,4.38,4.2,4.21,4.21,4.46,4.36,279.58
2024-04-01,7.38204545454545,5.14,4.87,4.71,4.56,4.56,4.54,4.77,4.66,284.2
2024-05-01,7.09540909090909,5.16,4.86,4.66,4.5,4.49,4.48,4.71,4.62,261.54
2024-06-01,7.08842105263158,5.11,4.74,4.5,4.32,4.3,4.31,4.54,4.44,277.84
2024-07-01,6.9725,4.9,4.5,4.29,4.16,4.19,4.25,4.56,4.46,272.25
2024-08-01,6.5835,4.43,3.97,3.79,3.71,3.77,3.87,4.25,4.15,271.35
