"fecha","instrumento","cupon","fecha_vencimiento","plazo_residual","rend_pe_10a","rend_ust_plazo","spread_pb","ytm","precio","dur_mod","convexidad"
2018-01-03,"SB2026",8.2,2026-08-12,8.6051,5.13,2.4075,269,5.0975,124.619,6.2466,50.0927
2018-01-04,"SB2026",8.2,2026-08-12,8.6023,4.98,2.4227,252,4.9427,125.8478,6.261,50.2625
2018-01-05,"SB2026",8.2,2026-08-12,8.5996,4.92,2.4373,245,4.8873,126.302,6.2645,50.301
2018-01-08,"SB2026",8.2,2026-08-12,8.5914,4.97,2.4524,248,4.9324,125.9961,6.2515,50.1372
2018-01-09,"SB2026",8.2,2026-08-12,8.5886,5.01,2.5077,246,4.9677,125.736,6.2449,50.056
2018-01-10,"SB2026",8.2,2026-08-12,8.5859,5.04,2.5123,249,5.0023,125.4814,6.2384,49.9758
2018-01-11,"SB2026",8.2,2026-08-12,8.5832,4.94,2.5022,240,4.9022,126.2847,6.2468,50.0729
2018-01-12,"SB2026",8.2,2026-08-12,8.5804,4.81,2.5169,226,4.7769,127.2949,6.258,50.2033
2018-01-16,"SB2026",8.2,2026-08-12,8.5695,4.7,2.5114,216,4.6714,128.2036,6.2589,50.203
2018-01-17,"SB2026",8.2,2026-08-12,8.5667,4.75,2.5413,218,4.7213,127.82,6.2507,50.1025
2018-01-18,"SB2026",8.2,2026-08-12,8.564,4.72,2.5865,210,4.6865,128.115,6.2519,50.1135
2018-01-19,"SB2026",8.2,2026-08-12,8.5613,4.71,2.6064,207,4.6764,128.2118,6.2503,50.092
2018-01-22,"SB2026",8.2,2026-08-12,8.553,4.74,2.6262,208,4.7062,128.0221,6.239,49.9488
2018-01-23,"SB2026",8.2,2026-08-12,8.5503,4.73,2.5913,210,4.6913,128.1575,6.238,49.9336
2018-01-24,"SB2026",8.2,2026-08-12,8.5476,4.72,2.6113,207,4.6813,128.2543,6.2364,49.9121
2018-01-25,"SB2026",8.2,2026-08-12,8.5448,4.71,2.5912,208,4.6712,128.3511,6.2348,49.8906
2018-01-26,"SB2026",8.2,2026-08-12,8.5421,4.72,2.6308,206,4.6908,128.2103,6.23,49.8303
2018-01-29,"SB2026",8.2,2026-08-12,8.5339,4.74,2.6658,204,4.7058,128.1399,6.2203,49.7069
2018-01-30,"SB2026",8.2,2026-08-12,8.5311,4.72,2.6908,199,4.6808,128.3553,6.2204,49.7049
2018-01-31,"SB2026",8.2,2026-08-12,8.5284,4.7,2.6906,198,4.6706,128.4535,6.2189,49.6837
2018-02-01,"SB2026",8.2,2026-08-12,8.5257,4.67,2.7505,189,4.6405,128.71,6.2195,49.6883
2018-02-02,"SB2026",8.2,2026-08-12,8.5229,4.68,2.8006,184,4.6406,128.7254,6.2168,49.6536
2018-02-05,"SB2026",8.2,2026-08-12,8.5147,4.7,2.7254,193,4.6554,128.6554,6.2071,49.5306
2018-02-06,"SB2026",8.2,2026-08-12,8.512,4.72,2.7454,193,4.6754,128.5128,6.2023,49.4702
2018-02-07,"SB2026",8.2,2026-08-12,8.5092,4.71,2.7953,187,4.6653,128.6094,6.2007,49.4488
2018-02-08,"SB2026",8.2,2026-08-12,8.5065,4.75,2.8052,190,4.7052,128.3079,6.1936,49.3626
2018-02-09,"SB2026",8.2,2026-08-12,8.5038,4.82,2.7751,199,4.7651,127.8492,6.1844,49.2504
2018-02-12,"SB2026",8.2,2026-08-12,8.4956,4.8,2.8149,194,4.7549,123.8798,6.3819,50.7877
2018-02-13,"SB2026",8.2,2026-08-12,8.4928,4.8,2.7848,197,4.7548,123.8964,6.3793,50.7523
2018-02-14,"SB2026",8.2,2026-08-12,8.4901,4.8,2.8748,189,4.7648,123.8335,6.3756,50.7046
2018-02-15,"SB2026",8.2,2026-08-12,8.4873,4.81,2.8647,191,4.7747,123.771,6.3719,50.657
2018-02-16,"SB2026",8.2,2026-08-12,8.4846,4.81,2.8397,194,4.7797,123.7477,6.3687,50.6155
2018-02-20,"SB2026",8.2,2026-08-12,8.4736,4.85,2.8444,197,4.8144,123.539,6.3546,50.4316
2018-02-21,"SB2026",8.2,2026-08-12,8.4709,4.84,2.8992,190,4.7992,123.6742,6.3534,50.4149
2018-02-22,"SB2026",8.2,2026-08-12,8.4682,4.86,2.8792,194,4.8192,123.5338,6.3487,50.3552
2018-02-23,"SB2026",8.2,2026-08-12,8.4654,4.86,2.834,198,4.814,123.5906,6.3466,50.3263
2018-02-26,"SB2026",8.2,2026-08-12,8.4572,4.87,2.8137,201,4.8237,123.5625,6.3376,50.2088
2018-02-27,"SB2026",8.2,2026-08-12,8.4545,4.84,2.8639,194,4.8039,123.7336,6.3369,50.1977
2018-02-28,"SB2026",8.2,2026-08-12,8.4517,4.83,2.8339,196,4.7939,123.8286,6.3352,50.1748
2018-03-01,"SB2026",8.2,2026-08-12,8.449,4.81,2.7738,200,4.7738,124.0021,6.3346,50.1641
2018-03-02,"SB2026",8.2,2026-08-12,8.4463,4.8,2.8237,194,4.7637,124.0972,6.3329,50.1412
2018-03-05,"SB2026",8.2,2026-08-12,8.4381,4.79,2.8436,191,4.7536,124.2253,6.3259,50.0482
2018-03-06,"SB2026",8.2,2026-08-12,8.4353,4.78,2.8435,190,4.7435,124.3203,6.3242,50.0253
2018-03-07,"SB2026",8.2,2026-08-12,8.4326,4.8,2.8482,191,4.7582,124.2207,6.3201,49.9723
2018-03-08,"SB2026",8.2,2026-08-12,8.4298,4.8,2.8234,194,4.7634,124.1962,6.3169,49.9309
2018-03-09,"SB2026",8.2,2026-08-12,8.4271,4.8,2.8581,190,4.7581,124.2539,6.3148,49.9023
2018-03-12,"SB2026",8.2,2026-08-12,8.4189,4.84,2.8278,197,4.7978,123.9905,6.3028,49.7489
2018-03-13,"SB2026",8.2,2026-08-12,8.4162,4.89,2.803,205,4.853,123.5762,6.2945,49.647
2018-03-14,"SB2026",8.2,2026-08-12,8.4134,4.86,2.7783,205,4.8283,123.7853,6.2944,49.642
2018-03-15,"SB2026",8.2,2026-08-12,8.4107,4.92,2.7882,210,4.8882,123.3356,6.2857,49.5346
2018-03-16,"SB2026",8.2,2026-08-12,8.4079,4.98,2.8129,213,4.9429,122.9294,6.2775,49.4336
2018-03-19,"SB2026",8.2,2026-08-12,8.3997,4.96,2.8127,211,4.9227,123.1345,6.2715,49.3535
2018-03-20,"SB2026",8.2,2026-08-12,8.397,4.9,2.8526,201,4.8626,123.6157,6.2749,49.3911
2018-03-21,"SB2026",8.2,2026-08-12,8.3943,4.89,2.8525,200,4.8525,123.71,6.2732,49.3684
2018-03-22,"SB2026",8.2,2026-08-12,8.3915,4.79,2.7925,196,4.7525,124.5057,6.2806,49.4542
2018-03-23,"SB2026",8.2,2026-08-12,8.3888,4.81,2.777,199,4.767,124.4079,6.2764,49.4017
2018-03-26,"SB2026",8.2,2026-08-12,8.3806,4.84,2.8122,199,4.8022,124.182,6.2649,49.2549
2018-03-27,"SB2026",8.2,2026-08-12,8.3778,4.83,2.7367,205,4.7867,124.3185,6.2638,49.2387
2018-03-28,"SB2026",8.2,2026-08-12,8.3751,4.81,2.7429,204,4.7829,124.3644,6.2615,49.2085
2018-04-02,"SB2026",8.2,2026-08-12,8.3614,4.83,2.6972,210,4.7972,124.3337,6.2467,49.0176
2018-04-03,"SB2026",8.2,2026-08-12,8.3587,4.82,2.7572,203,4.7872,124.4279,6.245,48.9949
2018-04-04,"SB2026",8.2,2026-08-12,8.3559,4.83,2.7571,204,4.7971,124.3668,6.2413,48.9483
2018-04-05,"SB2026",8.2,2026-08-12,8.3532,4.82,2.7916,199,4.7816,124.5036,6.2402,48.9322
2018-04-06,"SB2026",8.2,2026-08-12,8.3504,4.884,2.7315,211.4,4.8455,124.0244,6.2311,48.8212
2018-04-09,"SB2026",8.2,2026-08-12,8.3422,4.91,2.7468,213,4.8768,123.8315,6.22,48.68
2018-04-10,"SB2026",8.2,2026-08-12,8.3395,4.93,2.7668,213,4.8968,123.6944,6.2153,48.6217
2018-04-11,"SB2026",8.2,2026-08-12,8.3368,4.98,2.7512,219,4.9412,123.3701,6.2082,48.5344
2018-04-12,"SB2026",8.2,2026-08-12,8.334,4.98,2.8022,215,4.9522,123.3021,6.2044,48.4868
2018-04-16,"SB2026",8.2,2026-08-12,8.3231,5.01,2.8021,218,4.9821,123.1406,6.1908,48.3137
2018-04-17,"SB2026",8.2,2026-08-12,8.3203,5.05,2.792,223,5.022,122.8532,6.1841,48.232
2018-04-18,"SB2026",8.2,2026-08-12,8.3176,5.15,2.8476,228,5.1276,122.0714,6.1709,48.0727
2018-04-19,"SB2026",8.2,2026-08-12,8.3149,5.07,2.8919,215,5.0419,122.7355,6.1768,48.1398
2018-04-20,"SB2026",8.2,2026-08-12,8.3121,5.07,2.9319,211,5.0419,122.7526,6.1741,48.1055
2018-04-23,"SB2026",8.2,2026-08-12,8.3039,5.1,2.9574,212,5.0774,122.5342,6.1626,47.9608
2018-04-24,"SB2026",8.2,2026-08-12,8.3012,5.17,2.9717,217,5.1417,122.0669,6.1535,47.8508
2018-04-25,"SB2026",8.2,2026-08-12,8.2984,5.23,2.996,220,5.196,121.6771,6.1454,47.7527
2018-04-26,"SB2026",8.2,2026-08-12,8.2957,5.23,2.9716,223,5.2016,121.6521,6.1422,47.712
2018-04-27,"SB2026",8.2,2026-08-12,8.293,5.22,2.9372,226,5.1972,121.7018,6.1399,47.683
2018-04-30,"SB2026",8.2,2026-08-12,8.2847,5.2,2.9271,225,5.1771,121.9033,6.1339,47.6045
2018-05-02,"SB2026",8.2,2026-08-12,8.2793,5.21,2.9413,224,5.1813,121.9061,6.1282,47.5315
2018-05-03,"SB2026",8.2,2026-08-12,8.2765,5.22,2.917,228,5.197,121.806,6.1239,47.4791
2018-05-04,"SB2026",8.2,2026-08-12,8.2738,5.25,2.9212,230,5.2212,121.6428,6.1189,47.4168
2018-05-07,"SB2026",8.2,2026-08-12,8.2656,5.29,2.9211,234,5.2611,121.3983,6.1069,47.2684
2018-05-08,"SB2026",8.2,2026-08-12,8.2628,5.35,2.9468,238,5.3268,120.9295,6.0976,47.1577
2018-05-09,"SB2026",8.2,2026-08-12,8.2601,5.38,2.9768,238,5.3568,120.7263,6.092,47.0889
2018-05-10,"SB2026",8.2,2026-08-12,8.2574,5.31,2.9526,234,5.2926,121.2172,6.0957,47.1301
2018-05-11,"SB2026",8.2,2026-08-12,8.2546,5.27,2.9525,230,5.2525,121.5306,6.0971,47.1429
2018-05-14,"SB2026",8.2,2026-08-12,8.2464,5.24,2.9766,224,5.2166,121.8488,6.0926,47.0833
2018-05-15,"SB2026",8.2,2026-08-12,8.2437,5.32,3.0566,224,5.2966,121.2743,6.082,46.9565
2018-05-16,"SB2026",8.2,2026-08-12,8.2409,5.36,3.0665,227,5.3365,120.9974,6.0753,46.8763
2018-05-17,"SB2026",8.2,2026-08-12,8.2382,5.51,3.0865,240,5.4865,119.9192,6.0577,46.6685
2018-05-18,"SB2026",8.2,2026-08-12,8.2355,5.63,3.0365,257,5.6065,119.0698,6.0431,46.4959
2018-05-21,"SB2026",8.2,2026-08-12,8.2272,5.79,3.0364,273,5.7664,117.9814,6.0192,46.2107
2018-05-22,"SB2026",8.2,2026-08-12,8.2245,5.72,3.0363,266,5.6963,118.4983,6.0235,46.2583
2018-05-23,"SB2026",8.2,2026-08-12,8.2218,5.67,2.9744,266,5.6344,118.9592,6.027,46.2964
2018-05-24,"SB2026",8.2,2026-08-12,8.219,5.63,2.9503,265,5.6003,119.2222,6.0277,46.3024
2018-05-25,"SB2026",8.2,2026-08-12,8.2163,5.64,2.9003,271,5.6103,119.1687,6.0241,46.2575
2018-05-29,"SB2026",8.2,2026-08-12,8.2053,5.67,2.7341,290,5.6341,119.0702,6.011,46.0967
2018-05-30,"SB2026",8.2,2026-08-12,8.2026,5.65,2.81,281,5.62,119.189,6.0098,46.0795
