"instrumento","shock_pb","var_exacta_pct","aprox_duracion_pct","aprox_dur_conv_pct","error_duracion_pb","error_dur_conv_pb"
"SB2026",-200,1.3333,1.3178,1.3331,-1.5505,-0.0225
"SB2026",-100,0.6627,0.6589,0.6627,-0.385,-0.003
"SB2026",-50,0.3304,0.3294,0.3304,-0.0943,0.0012
"SB2026",50,-0.3286,-0.3294,-0.3285,-0.0891,0.0064
"SB2026",100,-0.6552,-0.6589,-0.6551,-0.3715,0.0105
"SB2026",200,-1.3028,-1.3178,-1.3025,-1.4983,0.0297
"SB2028",-200,4.9832,4.8324,4.9795,-15.0754,-0.3692
"SB2028",-100,2.4535,2.4162,2.453,-3.7323,-0.0557
"SB2028",-50,1.2175,1.2081,1.2173,-0.9356,-0.0165
"SB2028",50,-1.1989,-1.2081,-1.1989,-0.9235,-0.0044
"SB2028",100,-2.3798,-2.4162,-2.3794,-3.6425,0.034
"SB2028",200,-4.6887,-4.8324,-4.6853,-14.3719,0.3343
"SB2032",-200,11.468,10.7278,11.4327,-74.0202,-3.5288
"SB2032",-100,5.5443,5.3639,5.5401,-18.0448,-0.4219
"SB2032",-50,2.7264,2.682,2.726,-4.4492,-0.0435
"SB2032",50,-2.6385,-2.682,-2.6379,-4.3471,0.0586
"SB2032",100,-5.1919,-5.3639,-5.1877,-17.2014,0.4214
"SB2032",200,-10.0557,-10.7278,-10.0229,-67.2133,3.2781
"SB2037",-200,17.7344,15.9374,17.5987,-179.7033,-13.5751
"SB2037",-100,8.4002,7.9687,8.384,-43.1452,-1.6132
"SB2037",-50,4.0899,3.9844,4.0882,-10.5523,-0.1693
"SB2037",50,-3.8828,-3.9844,-3.8805,-10.1562,0.2268
"SB2037",100,-7.5692,-7.9687,-7.5534,-39.9534,1.5787
"SB2037",200,-14.3967,-15.9374,-14.2761,-154.0659,12.0623
"SB2042",-200,22.3885,19.4714,22.0997,-291.7066,-28.8744
"SB2042",-100,10.4273,9.7357,10.3928,-69.1566,-3.4485
"SB2042",-50,5.0362,4.8678,5.0321,-16.8386,-0.4116
"SB2042",50,-4.7078,-4.8678,-4.7036,-16.0096,0.4174
"SB2042",100,-9.1106,-9.7357,-9.0786,-62.5061,3.2019
"SB2042",200,-17.0888,-19.4714,-16.8431,-238.2591,24.5731
